image_path,label
image/14692.png,2
image/1867.png,2
image/1408.png,0
image/23850.png,0
image/23773.png,5
image/11500.png,0
image/24284.png,1
image/25059.png,3
image/4568.png,0
image/13171.png,0
image/3873.png,0
image/3130.png,0
image/9827.png,4
image/1121.png,4
image/23882.png,0
image/8560.png,0
image/1237.png,2
image/25403.png,13
image/28981.png,4
image/24728.png,4
image/19150.png,4
image/8841.png,3
image/9.png,3
image/14755.png,0
image/12245.png,0
image/6169.png,3
image/18676.png,12
image/9489.png,0
image/5692.png,3
image/2385.png,0
image/28141.png,0
image/5166.png,15
image/28291.png,0
image/25028.png,4
image/23447.png,3
image/3094.png,0
image/24401.png,5
image/13613.png,0
image/12903.png,1
image/17632.png,0
image/11891.png,3
image/18650.png,3
image/9472.png,4
image/29594.png,4
image/11026.png,0
image/2262.png,0
image/24302.png,0
image/6843.png,4
image/14510.png,4
image/24898.png,2
image/21498.png,3
image/20743.png,2
image/6598.png,0
image/26179.png,3
image/15319.png,0
image/2189.png,8
image/15471.png,1
image/20867.png,4
image/8288.png,4
image/28158.png,10
image/23010.png,0
image/5646.png,3
image/2318.png,3
image/21027.png,3
image/23170.png,2
image/18754.png,3
image/25256.png,0
image/23204.png,3
image/3663.png,0
image/24896.png,10
image/17306.png,0
image/7045.png,4
image/23266.png,1
image/22598.png,0
image/6387.png,2
image/10888.png,4
image/27788.png,3
image/6.png,4
image/13866.png,0
image/9668.png,2
image/4912.png,0
image/10634.png,0
image/19794.png,4
image/17202.png,2
image/6432.png,0
image/14274.png,1
image/19028.png,4
image/9861.png,1
image/18250.png,1
image/27281.png,3
image/1152.png,2
image/1326.png,6
image/11825.png,3
image/7518.png,3
image/7421.png,3
image/5341.png,0
image/15692.png,0
image/726.png,0
image/22347.png,0
image/12979.png,0
image/23004.png,0
image/24355.png,4
image/24253.png,0
image/24641.png,2
image/21574.png,3
image/25820.png,2
image/6222.png,3
image/19585.png,0
image/20312.png,3
image/24610.png,2
image/1244.png,0
image/13772.png,2
image/18638.png,0
image/13810.png,0
image/1667.png,2
image/143.png,4
image/6795.png,1
image/16031.png,2
image/28297.png,2
image/24206.png,1
image/21734.png,1
image/5024.png,1
image/14260.png,4
image/22784.png,3
image/2573.png,0
image/22193.png,0
image/23531.png,4
image/8268.png,3
image/144.png,2
image/23503.png,4
image/9926.png,3
image/9022.png,4
image/8479.png,3
image/19820.png,1
image/936.png,4
image/2004.png,3
image/18143.png,5
image/16291.png,1
image/29958.png,2
image/4058.png,0
image/13038.png,2
image/19588.png,10
image/16830.png,4
image/27107.png,0
image/14312.png,0
image/25779.png,1
image/3992.png,3
image/22294.png,0
image/10145.png,2
image/21412.png,2
image/20684.png,12
image/7125.png,2
image/16232.png,0
image/28953.png,1
image/28668.png,4
image/11214.png,0
image/8364.png,3
image/11103.png,1
image/16231.png,3
image/23963.png,0
image/12509.png,3
image/12290.png,0
image/3515.png,3
image/26923.png,0
image/2100.png,0
image/16340.png,0
image/5058.png,2
image/4488.png,2
image/28218.png,0
image/15106.png,3
image/11831.png,3
image/18213.png,3
image/25769.png,0
image/21912.png,0
image/24087.png,1
image/8600.png,7
image/19116.png,3
image/9376.png,0
